image_path,class_label,source,split
data/external/development_dataset/raw/healthy/healthy_0036.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0004.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0002.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0015.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0026.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0046.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0014.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0012.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0029.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0011.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0039.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0048.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0022.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0033.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0033.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0006.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0009.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0031.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0012.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0042.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0005.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0029.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0020.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0021.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0045.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0015.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0041.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0041.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0047.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0037.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0009.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0019.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0046.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0000.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0003.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0040.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0023.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0044.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0000.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0011.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0018.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0030.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0008.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0032.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0030.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0013.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0024.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0044.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0016.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0045.jpg,healthy,ayerr/plant-disease-classification,train
